BOWLING_TEAM_TOOK_WICKETS_BY,CAUGHT,CAUGHT_AND_BOWLED,RUN_OUT,BOWLED,LBW,STUMPED
"Mumbai Indians",752,40,63,227,73,36
"Royal Challengers Bangalore",704,25,53,183,59,39
"Chennai Super Kings",691,39,55,174,65,34
"Kings XI Punjab",641,28,57,216,65,26
"Kolkata Knight Riders",598,33,46,213,82,45
"Rajasthan Royals",553,37,52,155,46,31
"Delhi Daredevils",528,19,64,173,44,30
"Sunrisers Hyderabad",465,16,51,140,50,12
"Deccan Chargers",271,11,18,82,26,17
"Pune Warriors",153,3,4,37,16,7
"Delhi Capitals",148,5,14,30,9,6
"Gujarat Lions",92,4,14,21,11,3
"Rising Pune Supergiant",63,7,6,21,5,3
"Rising Pune Supergiants",45,NULL,4,10,11,4
"Kochi Tuskers Kerala",35,2,4,16,8,1
